D, rD1, tc, hr, 鉄筋本数, 鉄筋呼び径, L1, L2, タイプ, ts, 鋼種, スパイラル筋呼び径, 巻数
3000,3100,150, 250, 30, D19, 400, 615, 3000-N, 16.0, SM490A, U12.6, 10
3000,3100,150, 250, 30, D19, 400, 615, 3000-S1, 22.0, SM490A, U12.6, 10
3000,3100,150, 250, 30, D19, 400, 615, 3000-S2, 22.0, SM490A, U12.6, 10













































D, rD1, tc, hr, 鉄筋本数, 鉄筋呼び径, L1, L2, タイプ, ts, 鋼種, スパイラル筋呼び径, 巻数
800, 900, 120, 200, 10, D16, 350, 515, 800-N, 6.0, SS400, U9.0, 8
800, 900, 120, 200, 10, D16, 350, 515, 800-S1, 6.0, SS400, U12.6, 8
800, 900, 120, 200, 10, D16, 350, 515, 800-S2, 9.0, SM490A, U12.6, 8
900, 1000,120, 200, 10, D16, 350, 515, 900-N, 6.0, SS400, U9.0, 8
900, 1000,120, 200, 10, D16, 350, 515, 900-S1, 6.0, SS400, U12.6, 8
900, 1000,120, 200, 10, D16, 350, 515, 900-S2, 9.0, SM490A, U12.6, 8
1000,1100,120, 200, 12, D16, 350, 515, 1000-N, 6.0, SS400, U9.0, 8
1000,1100,120, 200, 12, D16, 350, 515, 1000-S1, 6.0, SS400, U12.6, 8
1000,1100,120, 200, 12, D16, 350, 515, 1000-S2, 9.0, SM490A, U12.6, 8
1100,1200,120, 200, 12, D16, 350, 515, 1100-N, 6.0, SS400, U9.0, 8
1100,1200,120, 200, 12, D16, 350, 515, 1100-S1, 9.0, SM490A, U12.6, 8
1100,1200,120, 200, 12, D16, 350, 515, 1100-S2, 12.0, SM490A, U12.6, 8
1200,1300,120, 200, 12, D16, 350, 515, 1200-N, 6.0, SS400, U9.0, 8
1200,1300,120, 200, 12, D16, 350, 515, 1200-S1, 9.0, SM490A, U12.6, 8
1200,1300,120, 200, 12, D16, 350, 515, 1200-S2, 12.0, SM490A, U12.6, 8
1300,1400,120, 200, 14, D16, 350, 515, 1300-N, 6.0, SS400, U9.0, 8
1300,1400,120, 200, 14, D16, 350, 515, 1300-S1, 9.0, SM490A, U12.6, 8
1300,1400,120, 200, 14, D16, 350, 515, 1300-S2, 12.0, SM490A, U12.6, 8
1400,1500,120, 200, 14, D16, 350, 515, 1400-N, 6.0, SS400, U10.7, 8
1400,1500,120, 200, 14, D16, 350, 515, 1400-S1, 9.0, SM490A, U12.6, 8
1400,1500,120, 200, 14, D16, 350, 515, 1400-S2, 12.0, SM490A, U12.6, 8
1500,1600,120, 200, 16, D16, 350, 515, 1500-N, 6.0, SS400, U10.7, 8
1500,1600,120, 200, 16, D16, 350, 515, 1500-S1, 9.0, SM490A, U12.6, 8
1500,1600,120, 200, 16, D16, 350, 515, 1500-S2, 12.0, SM490A, U12.6, 8
1600,1700,120, 200, 16, D19, 400, 565, 1600-N, 9.0, SM490A, U10.7, 8
1600,1700,120, 200, 16, D19, 400, 565, 1600-S1, 12.0, SM490A, U12.6, 8
1600,1700,120, 200, 16, D19, 400, 565, 1600-S2, 16.0, SM490A, U12.6, 8
1700,1800,120, 200, 18, D19, 400, 565, 1700-N, 9.0, SM490A, U10.7, 8
1700,1800,120, 200, 18, D19, 400, 565, 1700-S1, 12.0, SM490A, U12.6, 8
1700,1800,120, 200, 18, D19, 400, 565, 1700-S2, 16.0, SM490A, U12.6, 8
1800,1900,120, 200, 18, D19, 400, 565, 1800-N, 9.0, SM490A, U10.7, 8
1800,1900,120, 200, 18, D19, 400, 565, 1800-S1, 12.0, SM490A, U12.6, 8
1800,1900,120, 200, 18, D19, 400, 565, 1800-S2, 16.0, SM490A, U12.6, 8
1900,2000,120, 200, 20, D19, 400, 565, 1900-N, 9.0, SM490A, U10.7, 8
1900,2000,120, 200, 20, D19, 400, 565, 1900-S1, 12.0, SM490A, U12.6, 8
1900,2000,120, 200, 20, D19, 400, 565, 1900-S2, 16.0, SM490A, U12.6, 8
2000,2100,120, 200, 20, D19, 400, 565, 2000-N, 9.0, SM490A, U10.7, 8
2000,2100,120, 200, 20, D19, 400, 565, 2000-S1, 12.0, SM490A, U12.6, 8
2000,2100,120, 200, 20, D19, 400, 565, 2000-S2, 16.0, SM490A, U12.6, 8
2100,2200,150, 250, 22, D19, 400, 615, 2100-N, 9.0, SM490A, U10.7, 10
2100,2200,150, 250, 22, D19, 400, 615, 2100-S1, 12.0, SM490A, U12.6, 10
2100,2200,150, 250, 22, D19, 400, 615, 2100-S2, 19.0, SM490A, U12.6, 10
2200,2300,150, 250, 22, D19, 400, 615, 2200-N, 9.0, SM490A, U10.7, 10
2200,2300,150, 250, 22, D19, 400, 615, 2200-S1, 12.0, SM490A, U12.6, 10
2200,2300,150, 250, 22, D19, 400, 615, 2200-S2, 19.0, SM490A, U12.6, 10
2300,2400,150, 250, 24, D19, 400, 615, 2300-N, 9.0, SM490A, U10.7, 10
2300,2400,150, 250, 24, D19, 400, 615, 2300-S1, 12.0, SM490A, U12.6, 10
2300,2400,150, 250, 24, D19, 400, 615, 2300-S2, 19.0, SM490A, U12.6, 10
2400,2500,150, 250, 24, D19, 400, 615, 2400-N, 12.0, SM490A, U10.7, 10
2400,2500,150, 250, 24, D19, 400, 615, 2400-S1, 19.0, SM490A, U12.6, 10
2400,2500,150, 250, 24, D19, 400, 615, 2400-S2, 22.0, SM490A, U12.6, 10
2500,2600,150, 250, 26, D19, 400, 615, 2500-N, 12.0, SM490A, U10.7, 10
2500,2600,150, 250, 26, D19, 400, 615, 2500-S1, 19.0, SM490A, U12.6, 10
2500,2600,150, 250, 26, D19, 400, 615, 2500-S2, 22.0, SM490A, U12.6, 10
2600,2700,150, 250, 26, D19, 400, 615, 2600-N, 12.0, SM490A, U10.7, 10
2600,2700,150, 250, 26, D19, 400, 615, 2600-S1, 19.0, SM490A, U12.6, 10
2600,2700,150, 250, 26, D19, 400, 615, 2600-S2, 22.0, SM490A, U12.6, 10
2700,2800,150, 250, 28, D19, 400, 615, 2700-N, 16.0, SM490A, U12.6, 10
2700,2800,150, 250, 28, D19, 400, 615, 2700-S1, 22.0, SM490A, U12.6, 10
2700,2800,150, 250, 28, D19, 400, 615, 2700-S2, 22.0, SM490A, U12.6, 10
2800,2900,150, 250, 28, D19, 400, 615, 2800-N, 16.0, SM490A, U12.6, 10
2800,2900,150, 250, 28, D19, 400, 615, 2800-S1, 22.0, SM490A, U12.6, 10
2800,2900,150, 250, 28, D19, 400, 615, 2800-S2, 22.0, SM490A, U12.6, 10
2900,3000,150, 250, 30, D19, 400, 615, 2900-N, 16.0, SM490A, U12.6, 10
2900,3000,150, 250, 30, D19, 400, 615, 2900-S1, 22.0, SM490A, U12.6, 10
2900,3000,150, 250, 30, D19, 400, 615, 2900-S2, 22.0, SM490A, U12.6, 10
3000,3100,150, 250, 30, D19, 400, 615, 3000-N, 16.0, SM490A, U12.6, 10
3000,3100,150, 250, 30, D19, 400, 615, 3000-S1, 22.0, SM490A, U12.6, 10
3000,3100,150, 250, 30, D19, 400, 615, 3000-S2, 22.0, SM490A, U12.6, 10













































